Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40
"(2012, 875)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2012, 875)","(2012, 2091)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2012, 195)","(2012, 875)","(2012, 2091)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2012, 195)","(2012, 875)","(2012, 2091)","(2012, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2012, 195)","(1477, 875)","(2548, 875)","(2012, 2091)","(2012, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2012, 195)","(1477, 875)","(2548, 875)","(1477, 2091)","(2548, 2091)","(2012, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1477, 195)","(2548, 195)","(1477, 875)","(2548, 875)","(1477, 2091)","(2548, 2091)","(2012, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1477, 195)","(2548, 195)","(1477, 875)","(2548, 875)","(1477, 2091)","(2548, 2091)","(1477, 2771)","(2548, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1657, 195)","(2368, 195)","(1301, 875)","(2012, 875)","(2724, 875)","(1657, 2091)","(2368, 2091)","(1657, 2771)","(2368, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1657, 195)","(2368, 195)","(1301, 875)","(2012, 875)","(2724, 875)","(1301, 2091)","(2012, 2091)","(2724, 2091)","(1657, 2771)","(2368, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1301, 195)","(2012, 195)","(2724, 195)","(1301, 875)","(2012, 875)","(2724, 875)","(1301, 2091)","(2012, 2091)","(2724, 2091)","(1657, 2771)","(2368, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1301, 195)","(2012, 195)","(2724, 195)","(945, 875)","(1656, 875)","(2368, 875)","(3079, 875)","(1301, 2091)","(2012, 2091)","(2724, 2091)","(1657, 2771)","(2368, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1301, 195)","(2012, 195)","(2724, 195)","(945, 875)","(1656, 875)","(2368, 875)","(3079, 875)","(945, 2091)","(1656, 2091)","(2368, 2091)","(3079, 2091)","(1657, 2771)","(2368, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1301, 195)","(2012, 195)","(2724, 195)","(945, 875)","(1656, 875)","(2368, 875)","(3079, 875)","(945, 2091)","(1656, 2091)","(2368, 2091)","(3079, 2091)","(1301, 2771)","(2012, 2771)","(2724, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,
"(945, 195)","(1656, 195)","(2368, 195)","(3079, 195)","(945, 875)","(1656, 875)","(2368, 875)","(3079, 875)","(945, 2091)","(1656, 2091)","(2368, 2091)","(3079, 2091)","(1301, 2771)","(2012, 2771)","(2724, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,
"(945, 195)","(1656, 195)","(2368, 195)","(3079, 195)","(945, 875)","(1656, 875)","(2368, 875)","(3079, 875)","(945, 2091)","(1656, 2091)","(2368, 2091)","(3079, 2091)","(945, 2771)","(1656, 2771)","(2368, 2771)","(3079, 2771)",,,,,,,,,,,,,,,,,,,,,,,,
"(1125, 195)","(1716, 195)","(2307, 195)","(2899, 195)","(830, 875)","(1421, 875)","(2012, 875)","(2604, 875)","(3195, 875)","(1125, 2091)","(1716, 2091)","(2307, 2091)","(2899, 2091)","(1125, 2771)","(1716, 2771)","(2307, 2771)","(2899, 2771)",,,,,,,,,,,,,,,,,,,,,,,
"(1125, 195)","(1716, 195)","(2307, 195)","(2899, 195)","(830, 875)","(1421, 875)","(2012, 875)","(2604, 875)","(3195, 875)","(830, 2091)","(1421, 2091)","(2012, 2091)","(2604, 2091)","(3195, 2091)","(1125, 2771)","(1716, 2771)","(2307, 2771)","(2899, 2771)",,,,,,,,,,,,,,,,,,,,,,
"(830, 195)","(1421, 195)","(2012, 195)","(2604, 195)","(3195, 195)","(830, 875)","(1421, 875)","(2012, 875)","(2604, 875)","(3195, 875)","(830, 2091)","(1421, 2091)","(2012, 2091)","(2604, 2091)","(3195, 2091)","(1125, 2771)","(1716, 2771)","(2307, 2771)","(2899, 2771)",,,,,,,,,,,,,,,,,,,,,
"(830, 195)","(1421, 195)","(2012, 195)","(2604, 195)","(3195, 195)","(534, 875)","(1125, 875)","(1716, 875)","(2308, 875)","(2899, 875)","(3490, 875)","(830, 2091)","(1421, 2091)","(2012, 2091)","(2604, 2091)","(3195, 2091)","(1125, 2771)","(1716, 2771)","(2307, 2771)","(2899, 2771)",,,,,,,,,,,,,,,,,,,,
"(830, 195)","(1421, 195)","(2012, 195)","(2604, 195)","(3195, 195)","(534, 875)","(1125, 875)","(1716, 875)","(2308, 875)","(2899, 875)","(3490, 875)","(534, 2091)","(1125, 2091)","(1716, 2091)","(2308, 2091)","(2899, 2091)","(3490, 2091)","(1125, 2771)","(1716, 2771)","(2307, 2771)","(2899, 2771)",,,,,,,,,,,,,,,,,,,
"(830, 195)","(1421, 195)","(2012, 195)","(2604, 195)","(3195, 195)","(534, 875)","(1125, 875)","(1716, 875)","(2308, 875)","(2899, 875)","(3490, 875)","(534, 2091)","(1125, 2091)","(1716, 2091)","(2308, 2091)","(2899, 2091)","(3490, 2091)","(830, 2771)","(1421, 2771)","(2012, 2771)","(2604, 2771)","(3195, 2771)",,,,,,,,,,,,,,,,,,
"(534, 195)","(1125, 195)","(1716, 195)","(2308, 195)","(2899, 195)","(3490, 195)","(534, 875)","(1125, 875)","(1716, 875)","(2308, 875)","(2899, 875)","(3490, 875)","(534, 2091)","(1125, 2091)","(1716, 2091)","(2308, 2091)","(2899, 2091)","(3490, 2091)","(830, 2771)","(1421, 2771)","(2012, 2771)","(2604, 2771)","(3195, 2771)",,,,,,,,,,,,,,,,,
"(534, 195)","(1125, 195)","(1716, 195)","(2308, 195)","(2899, 195)","(3490, 195)","(534, 875)","(1125, 875)","(1716, 875)","(2308, 875)","(2899, 875)","(3490, 875)","(534, 2091)","(1125, 2091)","(1716, 2091)","(2308, 2091)","(2899, 2091)","(3490, 2091)","(534, 2771)","(1125, 2771)","(1716, 2771)","(2308, 2771)","(2899, 2771)","(3490, 2771)",,,,,,,,,,,,,,,,
"(714, 195)","(1233, 195)","(1753, 195)","(2272, 195)","(2791, 195)","(3310, 195)","(454, 875)","(973, 875)","(1493, 875)","(2012, 875)","(2531, 875)","(3050, 875)","(3570, 875)","(714, 2091)","(1233, 2091)","(1753, 2091)","(2272, 2091)","(2791, 2091)","(3310, 2091)","(714, 2771)","(1233, 2771)","(1753, 2771)","(2272, 2771)","(2791, 2771)","(3310, 2771)",,,,,,,,,,,,,,,
"(714, 195)","(1233, 195)","(1753, 195)","(2272, 195)","(2791, 195)","(3310, 195)","(454, 875)","(973, 875)","(1493, 875)","(2012, 875)","(2531, 875)","(3050, 875)","(3570, 875)","(454, 2091)","(973, 2091)","(1493, 2091)","(2012, 2091)","(2531, 2091)","(3050, 2091)","(3570, 2091)","(714, 2771)","(1233, 2771)","(1753, 2771)","(2272, 2771)","(2791, 2771)","(3310, 2771)",,,,,,,,,,,,,,
"(454, 195)","(973, 195)","(1493, 195)","(2012, 195)","(2531, 195)","(3050, 195)","(3570, 195)","(454, 875)","(973, 875)","(1493, 875)","(2012, 875)","(2531, 875)","(3050, 875)","(3570, 875)","(454, 2091)","(973, 2091)","(1493, 2091)","(2012, 2091)","(2531, 2091)","(3050, 2091)","(3570, 2091)","(714, 2771)","(1233, 2771)","(1753, 2771)","(2272, 2771)","(2791, 2771)","(3310, 2771)",,,,,,,,,,,,,
"(454, 195)","(973, 195)","(1493, 195)","(2012, 195)","(2531, 195)","(3050, 195)","(3570, 195)","(195, 875)","(714, 875)","(1234, 875)","(1753, 875)","(2272, 875)","(2791, 875)","(3311, 875)","(3830, 875)","(454, 2091)","(973, 2091)","(1493, 2091)","(2012, 2091)","(2531, 2091)","(3050, 2091)","(3570, 2091)","(714, 2771)","(1233, 2771)","(1753, 2771)","(2272, 2771)","(2791, 2771)","(3310, 2771)",,,,,,,,,,,,
"(454, 195)","(973, 195)","(1493, 195)","(2012, 195)","(2531, 195)","(3050, 195)","(3570, 195)","(195, 875)","(714, 875)","(1234, 875)","(1753, 875)","(2272, 875)","(2791, 875)","(3311, 875)","(3830, 875)","(195, 2091)","(714, 2091)","(1234, 2091)","(1753, 2091)","(2272, 2091)","(2791, 2091)","(3311, 2091)","(3830, 2091)","(714, 2771)","(1233, 2771)","(1753, 2771)","(2272, 2771)","(2791, 2771)","(3310, 2771)",,,,,,,,,,,
"(454, 195)","(973, 195)","(1493, 195)","(2012, 195)","(2531, 195)","(3050, 195)","(3570, 195)","(195, 875)","(714, 875)","(1234, 875)","(1753, 875)","(2272, 875)","(2791, 875)","(3311, 875)","(3830, 875)","(195, 2091)","(714, 2091)","(1234, 2091)","(1753, 2091)","(2272, 2091)","(2791, 2091)","(3311, 2091)","(3830, 2091)","(454, 2771)","(973, 2771)","(1493, 2771)","(2012, 2771)","(2531, 2771)","(3050, 2771)","(3570, 2771)",,,,,,,,,,
"(195, 195)","(714, 195)","(1234, 195)","(1753, 195)","(2272, 195)","(2791, 195)","(3311, 195)","(3830, 195)","(195, 875)","(714, 875)","(1234, 875)","(1753, 875)","(2272, 875)","(2791, 875)","(3311, 875)","(3830, 875)","(195, 2091)","(714, 2091)","(1234, 2091)","(1753, 2091)","(2272, 2091)","(2791, 2091)","(3311, 2091)","(3830, 2091)","(454, 2771)","(973, 2771)","(1493, 2771)","(2012, 2771)","(2531, 2771)","(3050, 2771)","(3570, 2771)",,,,,,,,,
"(195, 195)","(714, 195)","(1234, 195)","(1753, 195)","(2272, 195)","(2791, 195)","(3311, 195)","(3830, 195)","(195, 875)","(714, 875)","(1234, 875)","(1753, 875)","(2272, 875)","(2791, 875)","(3311, 875)","(3830, 875)","(195, 2091)","(714, 2091)","(1234, 2091)","(1753, 2091)","(2272, 2091)","(2791, 2091)","(3311, 2091)","(3830, 2091)","(195, 2771)","(714, 2771)","(1234, 2771)","(1753, 2771)","(2272, 2771)","(2791, 2771)","(3311, 2771)","(3830, 2771)",,,,,,,,
"(425, 245)","(886, 245)","(1347, 245)","(1808, 245)","(2270, 245)","(2731, 245)","(3193, 245)","(3655, 245)","(195, 899)","(656, 899)","(1117, 899)","(1578, 899)","(2040, 899)","(2501, 899)","(2963, 899)","(3425, 899)","(3887, 899)","(425, 2141)","(886, 2141)","(1347, 2141)","(1808, 2141)","(2270, 2141)","(2731, 2141)","(3193, 2141)","(3655, 2141)","(425, 2797)","(886, 2797)","(1347, 2797)","(1808, 2797)","(2269, 2797)","(2732, 2797)","(3194, 2797)","(3656, 2797)",,,,,,,
"(425, 245)","(886, 245)","(1347, 245)","(1808, 245)","(2270, 245)","(2731, 245)","(3193, 245)","(3655, 245)","(195, 899)","(656, 899)","(1117, 899)","(1578, 899)","(2040, 899)","(2501, 899)","(2963, 899)","(3425, 899)","(3887, 899)","(195, 2141)","(656, 2141)","(1117, 2141)","(1578, 2141)","(2040, 2141)","(2501, 2141)","(2963, 2141)","(3425, 2141)","(3887, 2141)","(425, 2797)","(886, 2797)","(1347, 2797)","(1808, 2797)","(2269, 2797)","(2732, 2797)","(3194, 2797)","(3656, 2797)",,,,,,
"(195, 245)","(656, 245)","(1117, 245)","(1578, 245)","(2040, 245)","(2501, 245)","(2963, 245)","(3425, 245)","(3887, 245)","(195, 899)","(656, 899)","(1117, 899)","(1578, 899)","(2040, 899)","(2501, 899)","(2963, 899)","(3425, 899)","(3887, 899)","(195, 2141)","(656, 2141)","(1117, 2141)","(1578, 2141)","(2040, 2141)","(2501, 2141)","(2963, 2141)","(3425, 2141)","(3887, 2141)","(425, 2797)","(886, 2797)","(1347, 2797)","(1808, 2797)","(2269, 2797)","(2732, 2797)","(3194, 2797)","(3656, 2797)",,,,,
"(402, 277)","(816, 277)","(1230, 277)","(1643, 277)","(2058, 277)","(2473, 277)","(2888, 277)","(3302, 277)","(3716, 277)","(195, 916)","(609, 916)","(1023, 916)","(1436, 916)","(1851, 916)","(2266, 916)","(2681, 916)","(3095, 916)","(3509, 916)","(3923, 916)","(402, 2173)","(816, 2173)","(1230, 2173)","(1643, 2173)","(2058, 2173)","(2473, 2173)","(2888, 2173)","(3302, 2173)","(3716, 2173)","(609, 2813)","(1023, 2813)","(1437, 2813)","(1850, 2813)","(2265, 2813)","(2680, 2813)","(3095, 2813)","(3509, 2813)",,,,
"(402, 277)","(816, 277)","(1230, 277)","(1643, 277)","(2058, 277)","(2473, 277)","(2888, 277)","(3302, 277)","(3716, 277)","(195, 916)","(609, 916)","(1023, 916)","(1436, 916)","(1851, 916)","(2266, 916)","(2681, 916)","(3095, 916)","(3509, 916)","(3923, 916)","(195, 2173)","(609, 2173)","(1023, 2173)","(1436, 2173)","(1851, 2173)","(2266, 2173)","(2681, 2173)","(3095, 2173)","(3509, 2173)","(3923, 2173)","(609, 2813)","(1023, 2813)","(1437, 2813)","(1850, 2813)","(2265, 2813)","(2680, 2813)","(3095, 2813)","(3509, 2813)",,,
"(402, 277)","(816, 277)","(1230, 277)","(1643, 277)","(2058, 277)","(2473, 277)","(2888, 277)","(3302, 277)","(3716, 277)","(195, 916)","(609, 916)","(1023, 916)","(1436, 916)","(1851, 916)","(2266, 916)","(2681, 916)","(3095, 916)","(3509, 916)","(3923, 916)","(195, 2173)","(609, 2173)","(1023, 2173)","(1436, 2173)","(1851, 2173)","(2266, 2173)","(2681, 2173)","(3095, 2173)","(3509, 2173)","(3923, 2173)","(402, 2813)","(816, 2813)","(1230, 2813)","(1643, 2813)","(2058, 2813)","(2473, 2813)","(2888, 2813)","(3302, 2813)","(3716, 2813)",,
"(195, 277)","(609, 277)","(1023, 277)","(1436, 277)","(1851, 277)","(2266, 277)","(2681, 277)","(3095, 277)","(3509, 277)","(3923, 277)","(195, 916)","(609, 916)","(1023, 916)","(1436, 916)","(1851, 916)","(2266, 916)","(2681, 916)","(3095, 916)","(3509, 916)","(3923, 916)","(195, 2173)","(609, 2173)","(1023, 2173)","(1436, 2173)","(1851, 2173)","(2266, 2173)","(2681, 2173)","(3095, 2173)","(3509, 2173)","(3923, 2173)","(402, 2813)","(816, 2813)","(1230, 2813)","(1643, 2813)","(2058, 2813)","(2473, 2813)","(2888, 2813)","(3302, 2813)","(3716, 2813)",
"(195, 277)","(609, 277)","(1023, 277)","(1436, 277)","(1851, 277)","(2266, 277)","(2681, 277)","(3095, 277)","(3509, 277)","(3923, 277)","(195, 916)","(609, 916)","(1023, 916)","(1436, 916)","(1851, 916)","(2266, 916)","(2681, 916)","(3095, 916)","(3509, 916)","(3923, 916)","(195, 2173)","(609, 2173)","(1023, 2173)","(1436, 2173)","(1851, 2173)","(2266, 2173)","(2681, 2173)","(3095, 2173)","(3509, 2173)","(3923, 2173)","(195, 2813)","(609, 2813)","(1023, 2813)","(1436, 2813)","(1851, 2813)","(2266, 2813)","(2681, 2813)","(3095, 2813)","(3509, 2813)","(3923, 2813)"
