Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40
"(2462, 875)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2462, 875)","(2462, 2091)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2462, 195)","(2462, 875)","(2462, 2091)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2462, 195)","(2462, 875)","(2462, 2091)","(2462, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2462, 195)","(1909, 875)","(3016, 875)","(2462, 2091)","(2462, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2462, 195)","(1909, 875)","(3016, 875)","(1909, 2091)","(3016, 2091)","(2462, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1909, 195)","(3016, 195)","(1909, 875)","(3016, 875)","(1909, 2091)","(3016, 2091)","(2462, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1909, 195)","(3016, 195)","(1909, 875)","(3016, 875)","(1909, 2091)","(3016, 2091)","(1909, 2771)","(3016, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2089, 195)","(2836, 195)","(1715, 875)","(2462, 875)","(3210, 875)","(2089, 2091)","(2836, 2091)","(2089, 2771)","(2836, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2089, 195)","(2836, 195)","(1715, 875)","(2462, 875)","(3210, 875)","(1715, 2091)","(2462, 2091)","(3210, 2091)","(2089, 2771)","(2836, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1715, 195)","(2462, 195)","(3210, 195)","(1715, 875)","(2462, 875)","(3210, 875)","(1715, 2091)","(2462, 2091)","(3210, 2091)","(2089, 2771)","(2836, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1715, 195)","(2462, 195)","(3210, 195)","(1341, 875)","(2088, 875)","(2836, 875)","(3583, 875)","(1715, 2091)","(2462, 2091)","(3210, 2091)","(2089, 2771)","(2836, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1715, 195)","(2462, 195)","(3210, 195)","(1341, 875)","(2088, 875)","(2836, 875)","(3583, 875)","(1341, 2091)","(2088, 2091)","(2836, 2091)","(3583, 2091)","(2089, 2771)","(2836, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1715, 195)","(2462, 195)","(3210, 195)","(1341, 875)","(2088, 875)","(2836, 875)","(3583, 875)","(1341, 2091)","(2088, 2091)","(2836, 2091)","(3583, 2091)","(1715, 2771)","(2462, 2771)","(3210, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,
"(1341, 195)","(2088, 195)","(2836, 195)","(3583, 195)","(1341, 875)","(2088, 875)","(2836, 875)","(3583, 875)","(1341, 2091)","(2088, 2091)","(2836, 2091)","(3583, 2091)","(1715, 2771)","(2462, 2771)","(3210, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,
"(1341, 195)","(2088, 195)","(2836, 195)","(3583, 195)","(1341, 875)","(2088, 875)","(2836, 875)","(3583, 875)","(1341, 2091)","(2088, 2091)","(2836, 2091)","(3583, 2091)","(1341, 2771)","(2088, 2771)","(2836, 2771)","(3583, 2771)",,,,,,,,,,,,,,,,,,,,,,,,
"(1521, 195)","(2148, 195)","(2775, 195)","(3403, 195)","(1208, 875)","(1835, 875)","(2462, 875)","(3090, 875)","(3717, 875)","(1521, 2091)","(2148, 2091)","(2775, 2091)","(3403, 2091)","(1521, 2771)","(2148, 2771)","(2775, 2771)","(3403, 2771)",,,,,,,,,,,,,,,,,,,,,,,
"(1521, 195)","(2148, 195)","(2775, 195)","(3403, 195)","(1208, 875)","(1835, 875)","(2462, 875)","(3090, 875)","(3717, 875)","(1208, 2091)","(1835, 2091)","(2462, 2091)","(3090, 2091)","(3717, 2091)","(1521, 2771)","(2148, 2771)","(2775, 2771)","(3403, 2771)",,,,,,,,,,,,,,,,,,,,,,
"(1208, 195)","(1835, 195)","(2462, 195)","(3090, 195)","(3717, 195)","(1208, 875)","(1835, 875)","(2462, 875)","(3090, 875)","(3717, 875)","(1208, 2091)","(1835, 2091)","(2462, 2091)","(3090, 2091)","(3717, 2091)","(1521, 2771)","(2148, 2771)","(2775, 2771)","(3403, 2771)",,,,,,,,,,,,,,,,,,,,,
"(1208, 195)","(1835, 195)","(2462, 195)","(3090, 195)","(3717, 195)","(894, 875)","(1521, 875)","(2148, 875)","(2776, 875)","(3403, 875)","(4030, 875)","(1208, 2091)","(1835, 2091)","(2462, 2091)","(3090, 2091)","(3717, 2091)","(1521, 2771)","(2148, 2771)","(2775, 2771)","(3403, 2771)",,,,,,,,,,,,,,,,,,,,
"(1208, 195)","(1835, 195)","(2462, 195)","(3090, 195)","(3717, 195)","(894, 875)","(1521, 875)","(2148, 875)","(2776, 875)","(3403, 875)","(4030, 875)","(894, 2091)","(1521, 2091)","(2148, 2091)","(2776, 2091)","(3403, 2091)","(4030, 2091)","(1521, 2771)","(2148, 2771)","(2775, 2771)","(3403, 2771)",,,,,,,,,,,,,,,,,,,
"(1208, 195)","(1835, 195)","(2462, 195)","(3090, 195)","(3717, 195)","(894, 875)","(1521, 875)","(2148, 875)","(2776, 875)","(3403, 875)","(4030, 875)","(894, 2091)","(1521, 2091)","(2148, 2091)","(2776, 2091)","(3403, 2091)","(4030, 2091)","(1208, 2771)","(1835, 2771)","(2462, 2771)","(3090, 2771)","(3717, 2771)",,,,,,,,,,,,,,,,,,
