Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40
"(4103, 1458)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4103, 1458)","(4103, 3485)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4103, 325)","(4103, 1458)","(4103, 3485)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4103, 325)","(4103, 1458)","(4103, 3485)","(4103, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4103, 325)","(3182, 1458)","(5027, 1458)","(4103, 3485)","(4103, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4103, 325)","(3182, 1458)","(5027, 1458)","(3182, 3485)","(5027, 3485)","(4103, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3182, 325)","(5027, 325)","(3182, 1458)","(5027, 1458)","(3182, 3485)","(5027, 3485)","(4103, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3182, 325)","(5027, 325)","(3182, 1458)","(5027, 1458)","(3182, 3485)","(5027, 3485)","(3182, 4618)","(5027, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3482, 325)","(4727, 325)","(2858, 1458)","(4103, 1458)","(5350, 1458)","(3482, 3485)","(4727, 3485)","(3482, 4618)","(4727, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3482, 325)","(4727, 325)","(2858, 1458)","(4103, 1458)","(5350, 1458)","(2858, 3485)","(4103, 3485)","(5350, 3485)","(3482, 4618)","(4727, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2858, 325)","(4103, 325)","(5350, 325)","(2858, 1458)","(4103, 1458)","(5350, 1458)","(2858, 3485)","(4103, 3485)","(5350, 3485)","(3482, 4618)","(4727, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2858, 325)","(4103, 325)","(5350, 325)","(2235, 1458)","(3480, 1458)","(4727, 1458)","(5972, 1458)","(2858, 3485)","(4103, 3485)","(5350, 3485)","(3482, 4618)","(4727, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2858, 325)","(4103, 325)","(5350, 325)","(2235, 1458)","(3480, 1458)","(4727, 1458)","(5972, 1458)","(2235, 3485)","(3480, 3485)","(4727, 3485)","(5972, 3485)","(3482, 4618)","(4727, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2858, 325)","(4103, 325)","(5350, 325)","(2235, 1458)","(3480, 1458)","(4727, 1458)","(5972, 1458)","(2235, 3485)","(3480, 3485)","(4727, 3485)","(5972, 3485)","(2858, 4618)","(4103, 4618)","(5350, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,
"(2235, 325)","(3480, 325)","(4727, 325)","(5972, 325)","(2235, 1458)","(3480, 1458)","(4727, 1458)","(5972, 1458)","(2235, 3485)","(3480, 3485)","(4727, 3485)","(5972, 3485)","(2858, 4618)","(4103, 4618)","(5350, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,
"(2235, 325)","(3480, 325)","(4727, 325)","(5972, 325)","(2235, 1458)","(3480, 1458)","(4727, 1458)","(5972, 1458)","(2235, 3485)","(3480, 3485)","(4727, 3485)","(5972, 3485)","(2235, 4618)","(3480, 4618)","(4727, 4618)","(5972, 4618)",,,,,,,,,,,,,,,,,,,,,,,,
"(2535, 325)","(3580, 325)","(4625, 325)","(5672, 325)","(2013, 1458)","(3058, 1458)","(4103, 1458)","(5150, 1458)","(6195, 1458)","(2535, 3485)","(3580, 3485)","(4625, 3485)","(5672, 3485)","(2535, 4618)","(3580, 4618)","(4625, 4618)","(5672, 4618)",,,,,,,,,,,,,,,,,,,,,,,
"(2535, 325)","(3580, 325)","(4625, 325)","(5672, 325)","(2013, 1458)","(3058, 1458)","(4103, 1458)","(5150, 1458)","(6195, 1458)","(2013, 3485)","(3058, 3485)","(4103, 3485)","(5150, 3485)","(6195, 3485)","(2535, 4618)","(3580, 4618)","(4625, 4618)","(5672, 4618)",,,,,,,,,,,,,,,,,,,,,,
"(2013, 325)","(3058, 325)","(4103, 325)","(5150, 325)","(6195, 325)","(2013, 1458)","(3058, 1458)","(4103, 1458)","(5150, 1458)","(6195, 1458)","(2013, 3485)","(3058, 3485)","(4103, 3485)","(5150, 3485)","(6195, 3485)","(2535, 4618)","(3580, 4618)","(4625, 4618)","(5672, 4618)",,,,,,,,,,,,,,,,,,,,,
"(2013, 325)","(3058, 325)","(4103, 325)","(5150, 325)","(6195, 325)","(1490, 1458)","(2535, 1458)","(3580, 1458)","(4627, 1458)","(5672, 1458)","(6717, 1458)","(2013, 3485)","(3058, 3485)","(4103, 3485)","(5150, 3485)","(6195, 3485)","(2535, 4618)","(3580, 4618)","(4625, 4618)","(5672, 4618)",,,,,,,,,,,,,,,,,,,,
"(2013, 325)","(3058, 325)","(4103, 325)","(5150, 325)","(6195, 325)","(1490, 1458)","(2535, 1458)","(3580, 1458)","(4627, 1458)","(5672, 1458)","(6717, 1458)","(1490, 3485)","(2535, 3485)","(3580, 3485)","(4627, 3485)","(5672, 3485)","(6717, 3485)","(2535, 4618)","(3580, 4618)","(4625, 4618)","(5672, 4618)",,,,,,,,,,,,,,,,,,,
"(2013, 325)","(3058, 325)","(4103, 325)","(5150, 325)","(6195, 325)","(1490, 1458)","(2535, 1458)","(3580, 1458)","(4627, 1458)","(5672, 1458)","(6717, 1458)","(1490, 3485)","(2535, 3485)","(3580, 3485)","(4627, 3485)","(5672, 3485)","(6717, 3485)","(2013, 4618)","(3058, 4618)","(4103, 4618)","(5150, 4618)","(6195, 4618)",,,,,,,,,,,,,,,,,,
"(1490, 325)","(2535, 325)","(3580, 325)","(4627, 325)","(5672, 325)","(6717, 325)","(1490, 1458)","(2535, 1458)","(3580, 1458)","(4627, 1458)","(5672, 1458)","(6717, 1458)","(1490, 3485)","(2535, 3485)","(3580, 3485)","(4627, 3485)","(5672, 3485)","(6717, 3485)","(2013, 4618)","(3058, 4618)","(4103, 4618)","(5150, 4618)","(6195, 4618)",,,,,,,,,,,,,,,,,
"(1490, 325)","(2535, 325)","(3580, 325)","(4627, 325)","(5672, 325)","(6717, 325)","(1490, 1458)","(2535, 1458)","(3580, 1458)","(4627, 1458)","(5672, 1458)","(6717, 1458)","(1490, 3485)","(2535, 3485)","(3580, 3485)","(4627, 3485)","(5672, 3485)","(6717, 3485)","(1490, 4618)","(2535, 4618)","(3580, 4618)","(4627, 4618)","(5672, 4618)","(6717, 4618)",,,,,,,,,,,,,,,,
