Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40
"(4148, 1458)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4148, 1458)","(4148, 3485)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4148, 325)","(4148, 1458)","(4148, 3485)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4148, 325)","(4148, 1458)","(4148, 3485)","(4148, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4148, 325)","(3220, 1458)","(5075, 1458)","(4148, 3485)","(4148, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4148, 325)","(3220, 1458)","(5075, 1458)","(3220, 3485)","(5075, 3485)","(4148, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3220, 325)","(5075, 325)","(3220, 1458)","(5075, 1458)","(3220, 3485)","(5075, 3485)","(4148, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3220, 325)","(5075, 325)","(3220, 1458)","(5075, 1458)","(3220, 3485)","(5075, 3485)","(3220, 4618)","(5075, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3520, 325)","(4775, 325)","(2892, 1458)","(4147, 1458)","(5403, 1458)","(3520, 3485)","(4775, 3485)","(3520, 4618)","(4775, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3520, 325)","(4775, 325)","(2892, 1458)","(4147, 1458)","(5403, 1458)","(2892, 3485)","(4147, 3485)","(5403, 3485)","(3520, 4618)","(4775, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2892, 325)","(4147, 325)","(5403, 325)","(2892, 1458)","(4147, 1458)","(5403, 1458)","(2892, 3485)","(4147, 3485)","(5403, 3485)","(3520, 4618)","(4775, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2892, 325)","(4147, 325)","(5403, 325)","(2265, 1458)","(3520, 1458)","(4777, 1458)","(6032, 1458)","(2892, 3485)","(4147, 3485)","(5403, 3485)","(3520, 4618)","(4775, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2892, 325)","(4147, 325)","(5403, 325)","(2265, 1458)","(3520, 1458)","(4777, 1458)","(6032, 1458)","(2265, 3485)","(3520, 3485)","(4777, 3485)","(6032, 3485)","(3520, 4618)","(4775, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2892, 325)","(4147, 325)","(5403, 325)","(2265, 1458)","(3520, 1458)","(4777, 1458)","(6032, 1458)","(2265, 3485)","(3520, 3485)","(4777, 3485)","(6032, 3485)","(2892, 4618)","(4147, 4618)","(5403, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,,
"(2265, 325)","(3520, 325)","(4777, 325)","(6032, 325)","(2265, 1458)","(3520, 1458)","(4777, 1458)","(6032, 1458)","(2265, 3485)","(3520, 3485)","(4777, 3485)","(6032, 3485)","(2892, 4618)","(4147, 4618)","(5403, 4618)",,,,,,,,,,,,,,,,,,,,,,,,,
