Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40
"(1341, 583)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1341, 583)","(1341, 1394)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1341, 130)","(1341, 583)","(1341, 1394)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1341, 130)","(1341, 583)","(1341, 1394)","(1341, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1341, 130)","(984, 583)","(1698, 583)","(1341, 1394)","(1341, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1341, 130)","(984, 583)","(1698, 583)","(984, 1394)","(1698, 1394)","(1341, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(984, 130)","(1698, 130)","(984, 583)","(1698, 583)","(984, 1394)","(1698, 1394)","(1341, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(984, 130)","(1698, 130)","(984, 583)","(1698, 583)","(984, 1394)","(1698, 1394)","(984, 1847)","(1698, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1104, 130)","(1578, 130)","(867, 583)","(1341, 583)","(1816, 583)","(1104, 1394)","(1578, 1394)","(1104, 1847)","(1578, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1104, 130)","(1578, 130)","(867, 583)","(1341, 583)","(1816, 583)","(867, 1394)","(1341, 1394)","(1816, 1394)","(1104, 1847)","(1578, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(867, 130)","(1341, 130)","(1816, 130)","(867, 583)","(1341, 583)","(1816, 583)","(867, 1394)","(1341, 1394)","(1816, 1394)","(1104, 1847)","(1578, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(867, 130)","(1341, 130)","(1816, 130)","(630, 583)","(1104, 583)","(1578, 583)","(2052, 583)","(867, 1394)","(1341, 1394)","(1816, 1394)","(1104, 1847)","(1578, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(867, 130)","(1341, 130)","(1816, 130)","(630, 583)","(1104, 583)","(1578, 583)","(2052, 583)","(630, 1394)","(1104, 1394)","(1578, 1394)","(2052, 1394)","(1104, 1847)","(1578, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"(867, 130)","(1341, 130)","(1816, 130)","(630, 583)","(1104, 583)","(1578, 583)","(2052, 583)","(630, 1394)","(1104, 1394)","(1578, 1394)","(2052, 1394)","(867, 1847)","(1341, 1847)","(1816, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,
"(630, 130)","(1104, 130)","(1578, 130)","(2052, 130)","(630, 583)","(1104, 583)","(1578, 583)","(2052, 583)","(630, 1394)","(1104, 1394)","(1578, 1394)","(2052, 1394)","(867, 1847)","(1341, 1847)","(1816, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,
"(630, 130)","(1104, 130)","(1578, 130)","(2052, 130)","(630, 583)","(1104, 583)","(1578, 583)","(2052, 583)","(630, 1394)","(1104, 1394)","(1578, 1394)","(2052, 1394)","(630, 1847)","(1104, 1847)","(1578, 1847)","(2052, 1847)",,,,,,,,,,,,,,,,,,,,,,,,
"(750, 130)","(1144, 130)","(1538, 130)","(1932, 130)","(553, 583)","(947, 583)","(1341, 583)","(1736, 583)","(2130, 583)","(750, 1394)","(1144, 1394)","(1538, 1394)","(1932, 1394)","(750, 1847)","(1144, 1847)","(1538, 1847)","(1932, 1847)",,,,,,,,,,,,,,,,,,,,,,,
"(750, 130)","(1144, 130)","(1538, 130)","(1932, 130)","(553, 583)","(947, 583)","(1341, 583)","(1736, 583)","(2130, 583)","(553, 1394)","(947, 1394)","(1341, 1394)","(1736, 1394)","(2130, 1394)","(750, 1847)","(1144, 1847)","(1538, 1847)","(1932, 1847)",,,,,,,,,,,,,,,,,,,,,,
"(553, 130)","(947, 130)","(1341, 130)","(1736, 130)","(2130, 130)","(553, 583)","(947, 583)","(1341, 583)","(1736, 583)","(2130, 583)","(553, 1394)","(947, 1394)","(1341, 1394)","(1736, 1394)","(2130, 1394)","(750, 1847)","(1144, 1847)","(1538, 1847)","(1932, 1847)",,,,,,,,,,,,,,,,,,,,,
"(553, 130)","(947, 130)","(1341, 130)","(1736, 130)","(2130, 130)","(356, 583)","(750, 583)","(1144, 583)","(1538, 583)","(1932, 583)","(2326, 583)","(553, 1394)","(947, 1394)","(1341, 1394)","(1736, 1394)","(2130, 1394)","(750, 1847)","(1144, 1847)","(1538, 1847)","(1932, 1847)",,,,,,,,,,,,,,,,,,,,
"(553, 130)","(947, 130)","(1341, 130)","(1736, 130)","(2130, 130)","(356, 583)","(750, 583)","(1144, 583)","(1538, 583)","(1932, 583)","(2326, 583)","(356, 1394)","(750, 1394)","(1144, 1394)","(1538, 1394)","(1932, 1394)","(2326, 1394)","(750, 1847)","(1144, 1847)","(1538, 1847)","(1932, 1847)",,,,,,,,,,,,,,,,,,,
"(553, 130)","(947, 130)","(1341, 130)","(1736, 130)","(2130, 130)","(356, 583)","(750, 583)","(1144, 583)","(1538, 583)","(1932, 583)","(2326, 583)","(356, 1394)","(750, 1394)","(1144, 1394)","(1538, 1394)","(1932, 1394)","(2326, 1394)","(553, 1847)","(947, 1847)","(1341, 1847)","(1736, 1847)","(2130, 1847)",,,,,,,,,,,,,,,,,,
"(356, 130)","(750, 130)","(1144, 130)","(1538, 130)","(1932, 130)","(2326, 130)","(356, 583)","(750, 583)","(1144, 583)","(1538, 583)","(1932, 583)","(2326, 583)","(356, 1394)","(750, 1394)","(1144, 1394)","(1538, 1394)","(1932, 1394)","(2326, 1394)","(553, 1847)","(947, 1847)","(1341, 1847)","(1736, 1847)","(2130, 1847)",,,,,,,,,,,,,,,,,
"(356, 130)","(750, 130)","(1144, 130)","(1538, 130)","(1932, 130)","(2326, 130)","(356, 583)","(750, 583)","(1144, 583)","(1538, 583)","(1932, 583)","(2326, 583)","(356, 1394)","(750, 1394)","(1144, 1394)","(1538, 1394)","(1932, 1394)","(2326, 1394)","(356, 1847)","(750, 1847)","(1144, 1847)","(1538, 1847)","(1932, 1847)","(2326, 1847)",,,,,,,,,,,,,,,,
"(476, 130)","(822, 130)","(1168, 130)","(1514, 130)","(1860, 130)","(2206, 130)","(302, 583)","(648, 583)","(995, 583)","(1341, 583)","(1687, 583)","(2033, 583)","(2380, 583)","(476, 1394)","(822, 1394)","(1168, 1394)","(1514, 1394)","(1860, 1394)","(2206, 1394)","(476, 1847)","(822, 1847)","(1168, 1847)","(1514, 1847)","(1860, 1847)","(2206, 1847)",,,,,,,,,,,,,,,
"(476, 130)","(822, 130)","(1168, 130)","(1514, 130)","(1860, 130)","(2206, 130)","(302, 583)","(648, 583)","(995, 583)","(1341, 583)","(1687, 583)","(2033, 583)","(2380, 583)","(302, 1394)","(648, 1394)","(995, 1394)","(1341, 1394)","(1687, 1394)","(2033, 1394)","(2380, 1394)","(476, 1847)","(822, 1847)","(1168, 1847)","(1514, 1847)","(1860, 1847)","(2206, 1847)",,,,,,,,,,,,,,
"(302, 130)","(648, 130)","(995, 130)","(1341, 130)","(1687, 130)","(2033, 130)","(2380, 130)","(302, 583)","(648, 583)","(995, 583)","(1341, 583)","(1687, 583)","(2033, 583)","(2380, 583)","(302, 1394)","(648, 1394)","(995, 1394)","(1341, 1394)","(1687, 1394)","(2033, 1394)","(2380, 1394)","(476, 1847)","(822, 1847)","(1168, 1847)","(1514, 1847)","(1860, 1847)","(2206, 1847)",,,,,,,,,,,,,
"(302, 130)","(648, 130)","(995, 130)","(1341, 130)","(1687, 130)","(2033, 130)","(2380, 130)","(130, 583)","(476, 583)","(822, 583)","(1168, 583)","(1514, 583)","(1860, 583)","(2207, 583)","(2553, 583)","(302, 1394)","(648, 1394)","(995, 1394)","(1341, 1394)","(1687, 1394)","(2033, 1394)","(2380, 1394)","(476, 1847)","(822, 1847)","(1168, 1847)","(1514, 1847)","(1860, 1847)","(2206, 1847)",,,,,,,,,,,,
"(302, 130)","(648, 130)","(995, 130)","(1341, 130)","(1687, 130)","(2033, 130)","(2380, 130)","(130, 583)","(476, 583)","(822, 583)","(1168, 583)","(1514, 583)","(1860, 583)","(2207, 583)","(2553, 583)","(130, 1394)","(476, 1394)","(822, 1394)","(1168, 1394)","(1514, 1394)","(1860, 1394)","(2207, 1394)","(2553, 1394)","(476, 1847)","(822, 1847)","(1168, 1847)","(1514, 1847)","(1860, 1847)","(2206, 1847)",,,,,,,,,,,
"(302, 130)","(648, 130)","(995, 130)","(1341, 130)","(1687, 130)","(2033, 130)","(2380, 130)","(130, 583)","(476, 583)","(822, 583)","(1168, 583)","(1514, 583)","(1860, 583)","(2207, 583)","(2553, 583)","(130, 1394)","(476, 1394)","(822, 1394)","(1168, 1394)","(1514, 1394)","(1860, 1394)","(2207, 1394)","(2553, 1394)","(302, 1847)","(648, 1847)","(995, 1847)","(1341, 1847)","(1687, 1847)","(2033, 1847)","(2380, 1847)",,,,,,,,,,
