Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40
"(1659, 583)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1659, 583)","(1659, 1394)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1659, 130)","(1659, 583)","(1659, 1394)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1659, 130)","(1659, 583)","(1659, 1394)","(1659, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1659, 130)","(1288, 583)","(2030, 583)","(1659, 1394)","(1659, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1659, 130)","(1288, 583)","(2030, 583)","(1288, 1394)","(2030, 1394)","(1659, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1288, 130)","(2030, 130)","(1288, 583)","(2030, 583)","(1288, 1394)","(2030, 1394)","(1659, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1288, 130)","(2030, 130)","(1288, 583)","(2030, 583)","(1288, 1394)","(2030, 1394)","(1288, 1847)","(2030, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1408, 130)","(1910, 130)","(1156, 583)","(1658, 583)","(2161, 583)","(1408, 1394)","(1910, 1394)","(1408, 1847)","(1910, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1408, 130)","(1910, 130)","(1156, 583)","(1658, 583)","(2161, 583)","(1156, 1394)","(1658, 1394)","(2161, 1394)","(1408, 1847)","(1910, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1156, 130)","(1658, 130)","(2161, 130)","(1156, 583)","(1658, 583)","(2161, 583)","(1156, 1394)","(1658, 1394)","(2161, 1394)","(1408, 1847)","(1910, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1156, 130)","(1658, 130)","(2161, 130)","(906, 583)","(1408, 583)","(1910, 583)","(2412, 583)","(1156, 1394)","(1658, 1394)","(2161, 1394)","(1408, 1847)","(1910, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
