Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40
"(1359, 583)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1359, 583)","(1359, 1394)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1359, 130)","(1359, 583)","(1359, 1394)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1359, 130)","(1359, 583)","(1359, 1394)","(1359, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1359, 130)","(999, 583)","(1718, 583)","(1359, 1394)","(1359, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1359, 130)","(999, 583)","(1718, 583)","(999, 1394)","(1718, 1394)","(1359, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(999, 130)","(1718, 130)","(999, 583)","(1718, 583)","(999, 1394)","(1718, 1394)","(1359, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(999, 130)","(1718, 130)","(999, 583)","(1718, 583)","(999, 1394)","(1718, 1394)","(999, 1847)","(1718, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1119, 130)","(1598, 130)","(880, 583)","(1359, 583)","(1838, 583)","(1119, 1394)","(1598, 1394)","(1119, 1847)","(1598, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1119, 130)","(1598, 130)","(880, 583)","(1359, 583)","(1838, 583)","(880, 1394)","(1360, 1394)","(1838, 1394)","(1119, 1847)","(1598, 1847)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
