Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,Position 13,Position 14,Position 15,Position 16,Position 17,Position 18,Position 19,Position 20,Position 21,Position 22,Position 23,Position 24,Position 25,Position 26,Position 27,Position 28,Position 29,Position 30,Position 31,Position 32,Position 33,Position 34,Position 35,Position 36,Position 37,Position 38,Position 39,Position 40
"(2489, 875)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2489, 875)","(2489, 2091)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2489, 195)","(2489, 875)","(2489, 2091)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2489, 195)","(2489, 875)","(2489, 2091)","(2489, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2489, 195)","(1932, 875)","(3045, 875)","(2489, 2091)","(2489, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2489, 195)","(1932, 875)","(3045, 875)","(1932, 2091)","(3045, 2091)","(2489, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1932, 195)","(3045, 195)","(1932, 875)","(3045, 875)","(1932, 2091)","(3045, 2091)","(2489, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1932, 195)","(3045, 195)","(1932, 875)","(3045, 875)","(1932, 2091)","(3045, 2091)","(1932, 2771)","(3045, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2112, 195)","(2865, 195)","(1735, 875)","(2488, 875)","(3242, 875)","(2112, 2091)","(2865, 2091)","(2112, 2771)","(2865, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2112, 195)","(2865, 195)","(1735, 875)","(2488, 875)","(3242, 875)","(1735, 2091)","(2488, 2091)","(3242, 2091)","(2112, 2771)","(2865, 2771)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
